  Tick   ID   Location   Memory   Time Left     Status  Wasted
    29    1         -1       17           0   FINISHED       -
    29    2         -1       60           0   FINISHED       -
    29    3         -1       23           0   FINISHED       -
    29    4         -1       25           0   FINISHED       -
    29    5         -1       40           0   FINISHED       -
    29    6         -1       22           0   FINISHED       -
    29    7         -1       47           0   FINISHED       -
    29    8         -1       43           0   FINISHED       -
    29    9         -1       17           0   FINISHED       -
    29   10          7       49           1    RUNNING      15
    29   11         -1       16           0   FINISHED       -
    29   12         -1       56           0   FINISHED       -
    29   13         -1       64           0   FINISHED       -
    29   14         -1       21           0   FINISHED       -
    29   15         -1       30           0   FINISHED       -
    29   16         -1       55           0   FINISHED       -
    29   17         -1       32           0   FINISHED       -
    29   18         -1       32           0   FINISHED       -
    29   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    30    0         -1       51           0   FINISHED       -
    30    1         -1       17           0   FINISHED       -
    30    2         -1       60           0   FINISHED       -
    30    3         -1       23           0   FINISHED       -
    30    4         -1       25           0   FINISHED       -
    30    5         -1       40           0   FINISHED       -
    30    6         -1       22           0   FINISHED       -
    30    7         -1       47           0   FINISHED       -
    30    8         -1       43           0   FINISHED       -
    30    9         -1       17           0   FINISHED       -
    30   10         -1       49           0   FINISHED       -
    30   11         -1       16           0   FINISHED       -
    30   12         -1       56           0   FINISHED       -
    30   13         -1       64           0   FINISHED       -
    30   14         -1       21           0   FINISHED       -
    30   15         -1       30           0   FINISHED       -
    30   16         -1       55           0   FINISHED       -
    30   17         -1       32           0   FINISHED       -
    30   18         -1       32           0   FINISHED       -
    30   19         -1       33           0   FINISHED       -

