  Tick   ID   Location   Memory   Time Left     Status
    20    9         -1       47           0   FINISHED
    20   10         -1       32           0   FINISHED
    20   11         -1       52           0   FINISHED
    20   12          7       62           7      READY
    20   13          6       32           3    RUNNING
    20   14         -1       40           0   FINISHED
    20   15         -1       61           9    WAITING
    20   16          1       40           4      READY
    20   17         -1       55           8    WAITING
    20   18          5       34           9      READY
    20   19          9       28           3    RUNNING

  Tick   ID   Location   Memory   Time Left     Status
    21    0          0       23           1    RUNNING
    21    1         -1       19           0   FINISHED
    21    2         -1       24           0   FINISHED
    21    3         -1       48           0   FINISHED
    21    4         -1       29           0   FINISHED
    21    5         -1       26           0   FINISHED
    21    6         -1       43           0   FINISHED
    21    7         -1       58           0   FINISHED
    21    8          8       40           1      READY
    21    9         -1       47           0   FINISHED
    21   10         -1       32           0   FINISHED
    21   11         -1       52           0   FINISHED
    21   12          7       62           7      READY
    21   13          6       32           3      READY
    21   14         -1       40           0   FINISHED
    21   15          4       61           9      READY
    21   16          1       40           3    RUNNING
    21   17         -1       55           8    WAITING
    21   18          5       34           8    RUNNING
    21   19          9       28           3      READY

  Tick   ID   Location   Memory   Time Left     Status
    22    0          0       23           1      READY
    22    1         -1       19           0   FINISHED
    22    2         -1       24           0   FINISHED
    22    3         -1       48           0   FINISHED
    22    4         -1       29           0   FINISHED
    22    5         -1       26           0   FINISHED
    22    6         -1       43           0   FINISHED
    22    7         -1       58           0   FINISHED
    22    8          8       40           1      READY
    22    9         -1       47           0   FINISHED
    22   10         -1       32           0   FINISHED
    22   11         -1       52           0   FINISHED
    22   12          7       62           6    RUNNING
    22   13          6       32           2    RUNNING
    22   14         -1       40           0   FINISHED
    22   15          4       61           8    RUNNING
    22   16          1       40           3      READY
    22   17         -1       55           8    WAITING
    22   18          5       34           7    RUNNING
    22   19          9       28           3      READY

  Tick   ID   Location   Memory   Time Left     Status
    23    0         -1       23           0   FINISHED
    23    1         -1       19           0   FINISHED
    23    2         -1       24           0   FINISHED
    23    3         -1       48           0   FINISHED
    23    4         -1       29           0   FINISHED
    23    5         -1       26           0   FINISHED
    23    6         -1       43           0   FINISHED
    23    7         -1       58           0   FINISHED
    23    8         -1       40           0   FINISHED
    23    9         -1       47           0   FINISHED
    23   10         -1       32           0   FINISHED
    23   11         -1       52           0   FINISHED
    23   12          7       62           6      READY
    23   13          6       32           2      READY
    23   14         -1       40           0   FINISHED
    23   15          4       61           8      READY
    23   16          1       40           2    RUNNING
    23   17         -1       55           8    WAITING
    23   18          5       34           7      READY
    23   19          9       28           2    RUNNING

  Tick   ID   Location   Memory   Time Left     Status
    24    0         -1       23           0   FINISHED
    24    1         -1       19           0   FINISHED
